CPU,Time,GHz
1,2024-03-09 12:29:13.227657,2.707
2,2024-03-09 12:29:13.227658,2.914
3,2024-03-09 12:29:13.227659,2.718
0,2024-03-09 12:29:13.353878,2.860
1,2024-03-09 12:29:13.353881,2.751
2,2024-03-09 12:29:13.353883,2.839
3,2024-03-09 12:29:13.353884,2.760
0,2024-03-09 12:29:13.487069,2.769
1,2024-03-09 12:29:13.487073,3.074
2,2024-03-09 12:29:13.487074,2.770
3,2024-03-09 12:29:13.487075,2.562
0,2024-03-09 12:29:13.611705,2.932
1,2024-03-09 12:29:13.611708,2.974
2,2024-03-09 12:29:13.611710,2.710
3,2024-03-09 12:29:13.611711,3.007
0,2024-03-09 12:29:13.742331,2.714
1,2024-03-09 12:29:13.742334,2.817
2,2024-03-09 12:29:13.742336,2.659
3,2024-03-09 12:29:13.742337,2.873
0,2024-03-09 12:29:13.876004,3.128
1,2024-03-09 12:29:13.876008,2.727
2,2024-03-09 12:29:13.876010,2.548
3,2024-03-09 12:29:13.876011,2.678
0,2024-03-09 12:29:14.002062,2.628
1,2024-03-09 12:29:14.002106,2.563
2,2024-03-09 12:29:14.002108,2.661
3,2024-03-09 12:29:14.002109,2.528
0,2024-03-09 12:29:14.124652,2.833
1,2024-03-09 12:29:14.124656,2.817
2,2024-03-09 12:29:14.124657,2.441
3,2024-03-09 12:29:14.124658,2.923
0,2024-03-09 12:29:14.247280,3.138
1,2024-03-09 12:29:14.247284,2.977
2,2024-03-09 12:29:14.247285,3.252
3,2024-03-09 12:29:14.247286,2.611
0,2024-03-09 12:29:14.369586,2.782
1,2024-03-09 12:29:14.369589,2.799
2,2024-03-09 12:29:14.369591,2.586
3,2024-03-09 12:29:14.369592,2.700
0,2024-03-09 12:29:14.501887,2.797
1,2024-03-09 12:29:14.501890,2.659
2,2024-03-09 12:29:14.501891,2.614
3,2024-03-09 12:29:14.501892,2.745
0,2024-03-09 12:29:14.628898,3.088
1,2024-03-09 12:29:14.628901,3.181
2,2024-03-09 12:29:14.628903,2.743
3,2024-03-09 12:29:14.628905,2.709
0,2024-03-09 12:29:14.755903,2.648
1,2024-03-09 12:29:14.755906,2.831
2,2024-03-09 12:29:14.755908,2.336
3,2024-03-09 12:29:14.755909,2.661
0,2024-03-09 12:29:14.883643,2.721
1,2024-03-09 12:29:14.883646,2.786
2,2024-03-09 12:29:14.883648,2.590
3,2024-03-09 12:29:14.883649,2.798
0,2024-03-09 12:29:15.007155,2.951
1,2024-03-09 12:29:15.007159,2.847
2,2024-03-09 12:29:15.007160,3.069
3,2024-03-09 12:29:15.007162,2.810
0,2024-03-09 12:29:15.130009,2.735
1,2024-03-09 12:29:15.130014,2.738
2,2024-03-09 12:29:15.130015,2.690
3,2024-03-09 12:29:15.130016,2.481
0,2024-03-09 12:29:15.254215,2.651
1,2024-03-09 12:29:15.254219,2.717
2,2024-03-09 12:29:15.254220,2.788
3,2024-03-09 12:29:15.254221,2.733
0,2024-03-09 12:29:15.379944,2.672
1,2024-03-09 12:29:15.379949,2.766
2,2024-03-09 12:29:15.379951,2.651
3,2024-03-09 12:29:15.379952,2.942
0,2024-03-09 12:29:15.503609,2.657
1,2024-03-09 12:29:15.503613,2.845
2,2024-03-09 12:29:15.503615,2.747
3,2024-03-09 12:29:15.503616,2.663
0,2024-03-09 12:29:15.637286,2.924
1,2024-03-09 12:29:15.637290,2.610
2,2024-03-09 12:29:15.637291,2.595
3,2024-03-09 12:29:15.637292,2.936
0,2024-03-09 12:29:15.765835,2.722
1,2024-03-09 12:29:15.765838,2.873
2,2024-03-09 12:29:15.765840,2.657
3,2024-03-09 12:29:15.765841,2.880
0,2024-03-09 12:29:15.896755,2.737
1,2024-03-09 12:29:15.896759,2.856
2,2024-03-09 12:29:15.896760,2.934
3,2024-03-09 12:29:15.896761,2.768
0,2024-03-09 12:29:16.023502,2.620
1,2024-03-09 12:29:16.023505,2.768
2,2024-03-09 12:29:16.023507,2.789
3,2024-03-09 12:29:16.023508,2.551
0,2024-03-09 12:29:16.150097,3.098
1,2024-03-09 12:29:16.150100,3.292
2,2024-03-09 12:29:16.150102,2.698
3,2024-03-09 12:29:16.150103,2.731
0,2024-03-09 12:29:16.289254,2.508
1,2024-03-09 12:29:16.289258,2.757
2,2024-03-09 12:29:16.289259,2.573
3,2024-03-09 12:29:16.289261,3.003
