CPU,Time,GHz
43,2024-03-07 14:51:08.307587,0.000
44,2024-03-07 14:51:08.307588,0.000
45,2024-03-07 14:51:08.307590,0.000
46,2024-03-07 14:51:08.307591,0.001
47,2024-03-07 14:51:08.307592,0.001
48,2024-03-07 14:51:08.307593,0.001
49,2024-03-07 14:51:08.307594,0.001
50,2024-03-07 14:51:08.307594,0.003
51,2024-03-07 14:51:08.307595,0.005
52,2024-03-07 14:51:08.307596,0.002
53,2024-03-07 14:51:08.307597,0.002
54,2024-03-07 14:51:08.307598,0.001
55,2024-03-07 14:51:08.307598,0.000
56,2024-03-07 14:51:08.307599,0.001
57,2024-03-07 14:51:08.307600,0.001
58,2024-03-07 14:51:08.307601,0.002
59,2024-03-07 14:51:08.307602,0.000
60,2024-03-07 14:51:08.307603,0.001
61,2024-03-07 14:51:08.307606,0.000
62,2024-03-07 14:51:08.307608,0.002
63,2024-03-07 14:51:08.307609,0.001
64,2024-03-07 14:51:08.307610,0.000
65,2024-03-07 14:51:08.307611,0.000
66,2024-03-07 14:51:08.307612,0.000
67,2024-03-07 14:51:08.307613,0.000
68,2024-03-07 14:51:08.307614,0.001
69,2024-03-07 14:51:08.307615,0.000
70,2024-03-07 14:51:08.307616,0.000
71,2024-03-07 14:51:08.307616,0.001
72,2024-03-07 14:51:08.307617,0.000
73,2024-03-07 14:51:08.307618,0.000
74,2024-03-07 14:51:08.307619,0.001
75,2024-03-07 14:51:08.307620,0.001
76,2024-03-07 14:51:08.307621,0.000
77,2024-03-07 14:51:08.307622,0.000
78,2024-03-07 14:51:08.307623,0.000
79,2024-03-07 14:51:08.307624,0.000
80,2024-03-07 14:51:08.307624,0.000
81,2024-03-07 14:51:08.307625,0.001
82,2024-03-07 14:51:08.307626,0.001
83,2024-03-07 14:51:08.307627,0.001
84,2024-03-07 14:51:08.307628,0.000
85,2024-03-07 14:51:08.307629,0.000
86,2024-03-07 14:51:08.307629,0.000
87,2024-03-07 14:51:08.307631,0.000
88,2024-03-07 14:51:08.307632,0.000
89,2024-03-07 14:51:08.307633,0.000
90,2024-03-07 14:51:08.307634,0.000
91,2024-03-07 14:51:08.307635,0.000
92,2024-03-07 14:51:08.307639,0.000
93,2024-03-07 14:51:08.307640,0.000
94,2024-03-07 14:51:08.307641,0.000
95,2024-03-07 14:51:08.307642,0.002
0,2024-03-07 14:51:08.848270,0.001
1,2024-03-07 14:51:08.848275,0.002
2,2024-03-07 14:51:08.848276,0.001
3,2024-03-07 14:51:08.848277,0.000
4,2024-03-07 14:51:08.848278,0.001
5,2024-03-07 14:51:08.848278,0.002
6,2024-03-07 14:51:08.848279,0.000
7,2024-03-07 14:51:08.848280,0.001
8,2024-03-07 14:51:08.848281,0.000
9,2024-03-07 14:51:08.848282,0.001
10,2024-03-07 14:51:08.848283,0.001
11,2024-03-07 14:51:08.848284,0.001
12,2024-03-07 14:51:08.848289,0.002
13,2024-03-07 14:51:08.848289,0.001
14,2024-03-07 14:51:08.848290,0.001
15,2024-03-07 14:51:08.848291,0.001
16,2024-03-07 14:51:08.848292,0.001
17,2024-03-07 14:51:08.848293,0.001
18,2024-03-07 14:51:08.848294,0.001
19,2024-03-07 14:51:08.848295,0.001
20,2024-03-07 14:51:08.848295,0.003
21,2024-03-07 14:51:08.848297,0.001
22,2024-03-07 14:51:08.848298,0.001
23,2024-03-07 14:51:08.848299,0.001
24,2024-03-07 14:51:08.848300,0.001
25,2024-03-07 14:51:08.848300,0.000
26,2024-03-07 14:51:08.848301,0.001
27,2024-03-07 14:51:08.848302,0.000
28,2024-03-07 14:51:08.848303,0.000
29,2024-03-07 14:51:08.848304,0.000
30,2024-03-07 14:51:08.848305,0.000
31,2024-03-07 14:51:08.848305,0.000
32,2024-03-07 14:51:08.848306,0.001
33,2024-03-07 14:51:08.848309,0.000
34,2024-03-07 14:51:08.848310,0.000
35,2024-03-07 14:51:08.848310,0.002
36,2024-03-07 14:51:08.848311,0.000
37,2024-03-07 14:51:08.848312,0.000
38,2024-03-07 14:51:08.848313,0.000
39,2024-03-07 14:51:08.848314,0.000
40,2024-03-07 14:51:08.848315,0.002
41,2024-03-07 14:51:08.848316,0.000
42,2024-03-07 14:51:08.848316,0.000
43,2024-03-07 14:51:08.848317,0.000
44,2024-03-07 14:51:08.848318,0.000
45,2024-03-07 14:51:08.848319,0.000
46,2024-03-07 14:51:08.848320,0.000
47,2024-03-07 14:51:08.848320,0.000
48,2024-03-07 14:51:08.848321,0.001
49,2024-03-07 14:51:08.848322,0.000
50,2024-03-07 14:51:08.848324,0.003
51,2024-03-07 14:51:08.848325,0.000
52,2024-03-07 14:51:08.848326,0.004
53,2024-03-07 14:51:08.848327,0.001
54,2024-03-07 14:51:08.848328,0.001
55,2024-03-07 14:51:08.848329,0.000
56,2024-03-07 14:51:08.848330,0.000
57,2024-03-07 14:51:08.848331,0.000
58,2024-03-07 14:51:08.848332,0.000
59,2024-03-07 14:51:08.848333,0.000
60,2024-03-07 14:51:08.848333,0.000
61,2024-03-07 14:51:08.848334,0.000
62,2024-03-07 14:51:08.848335,0.000
63,2024-03-07 14:51:08.848336,0.000
64,2024-03-07 14:51:08.848337,0.000
65,2024-03-07 14:51:08.848338,0.000
66,2024-03-07 14:51:08.848339,0.000
67,2024-03-07 14:51:08.848339,0.001
68,2024-03-07 14:51:08.848340,0.001
69,2024-03-07 14:51:08.848341,0.000
70,2024-03-07 14:51:08.848342,0.000
71,2024-03-07 14:51:08.848343,0.001
72,2024-03-07 14:51:08.848344,0.000
73,2024-03-07 14:51:08.848344,0.000
74,2024-03-07 14:51:08.848345,0.001
75,2024-03-07 14:51:08.848347,0.000
76,2024-03-07 14:51:08.848348,0.000
77,2024-03-07 14:51:08.848349,0.000
78,2024-03-07 14:51:08.848443,0.000
79,2024-03-07 14:51:08.848444,0.000
80,2024-03-07 14:51:08.848445,0.000
81,2024-03-07 14:51:08.848446,0.000
82,2024-03-07 14:51:08.848447,0.000
83,2024-03-07 14:51:08.848448,0.002
84,2024-03-07 14:51:08.848449,0.000
85,2024-03-07 14:51:08.848449,0.000
86,2024-03-07 14:51:08.848450,0.000
87,2024-03-07 14:51:08.848451,0.000
88,2024-03-07 14:51:08.848452,0.001
89,2024-03-07 14:51:08.848453,0.000
90,2024-03-07 14:51:08.848454,0.000
91,2024-03-07 14:51:08.848455,0.000
92,2024-03-07 14:51:08.848460,0.000
93,2024-03-07 14:51:08.848461,0.000
94,2024-03-07 14:51:08.848462,0.000
95,2024-03-07 14:51:08.848462,0.001
0,2024-03-07 14:51:09.387846,0.003
1,2024-03-07 14:51:09.387850,0.007
2,2024-03-07 14:51:09.387851,0.001
3,2024-03-07 14:51:09.387852,0.000
4,2024-03-07 14:51:09.387853,0.000
5,2024-03-07 14:51:09.387854,0.001
6,2024-03-07 14:51:09.387855,0.001
7,2024-03-07 14:51:09.387856,0.000
8,2024-03-07 14:51:09.387860,0.000
9,2024-03-07 14:51:09.387861,0.000
10,2024-03-07 14:51:09.387862,0.000
11,2024-03-07 14:51:09.387863,0.000
12,2024-03-07 14:51:09.387867,0.002
13,2024-03-07 14:51:09.387868,0.000
14,2024-03-07 14:51:09.387869,0.000
15,2024-03-07 14:51:09.387870,0.001
16,2024-03-07 14:51:09.387871,0.000
17,2024-03-07 14:51:09.387873,0.000
18,2024-03-07 14:51:09.387873,0.000
19,2024-03-07 14:51:09.387874,0.000
20,2024-03-07 14:51:09.387875,0.003
21,2024-03-07 14:51:09.387876,0.000
22,2024-03-07 14:51:09.387877,0.000
23,2024-03-07 14:51:09.387878,0.000
24,2024-03-07 14:51:09.387878,0.001
25,2024-03-07 14:51:09.387879,0.000
26,2024-03-07 14:51:09.387880,0.001
27,2024-03-07 14:51:09.387881,0.001
28,2024-03-07 14:51:09.387882,0.000
29,2024-03-07 14:51:09.387885,0.000
30,2024-03-07 14:51:09.387886,0.000
31,2024-03-07 14:51:09.387887,0.001
32,2024-03-07 14:51:09.387888,0.001
33,2024-03-07 14:51:09.387889,0.001
34,2024-03-07 14:51:09.387890,0.002
35,2024-03-07 14:51:09.387891,0.001
36,2024-03-07 14:51:09.387891,0.001
37,2024-03-07 14:51:09.387892,0.001
38,2024-03-07 14:51:09.387893,0.001
39,2024-03-07 14:51:09.387894,0.001
40,2024-03-07 14:51:09.387895,0.001
41,2024-03-07 14:51:09.387896,0.001
42,2024-03-07 14:51:09.387897,0.001
43,2024-03-07 14:51:09.387897,0.002
44,2024-03-07 14:51:09.387898,0.002
45,2024-03-07 14:51:09.387899,0.001
46,2024-03-07 14:51:09.387900,0.000
47,2024-03-07 14:51:09.387901,0.001
48,2024-03-07 14:51:09.387902,0.002
49,2024-03-07 14:51:09.387902,0.001
50,2024-03-07 14:51:09.387904,0.003
51,2024-03-07 14:51:09.387905,0.000
52,2024-03-07 14:51:09.387906,0.000
53,2024-03-07 14:51:09.387907,0.000
54,2024-03-07 14:51:09.387908,0.004
55,2024-03-07 14:51:09.387910,0.000
56,2024-03-07 14:51:09.387912,0.000
57,2024-03-07 14:51:09.387913,0.001
58,2024-03-07 14:51:09.387914,0.000
59,2024-03-07 14:51:09.387915,0.000
60,2024-03-07 14:51:09.387915,0.001
61,2024-03-07 14:51:09.387916,0.000
62,2024-03-07 14:51:09.387917,0.000
63,2024-03-07 14:51:09.387918,0.011
64,2024-03-07 14:51:09.387919,0.000
65,2024-03-07 14:51:09.387920,0.000
66,2024-03-07 14:51:09.387921,0.000
67,2024-03-07 14:51:09.387921,0.000
68,2024-03-07 14:51:09.387922,0.001
69,2024-03-07 14:51:09.387923,0.000
70,2024-03-07 14:51:09.387924,0.000
71,2024-03-07 14:51:09.387926,0.000
72,2024-03-07 14:51:09.387927,0.000
73,2024-03-07 14:51:09.387928,0.000
74,2024-03-07 14:51:09.387929,0.001
75,2024-03-07 14:51:09.387930,0.000
76,2024-03-07 14:51:09.387930,0.000
77,2024-03-07 14:51:09.387931,0.000
78,2024-03-07 14:51:09.387932,0.000
79,2024-03-07 14:51:09.387933,0.000
80,2024-03-07 14:51:09.387934,0.000
81,2024-03-07 14:51:09.387935,0.000
82,2024-03-07 14:51:09.387936,0.006
83,2024-03-07 14:51:09.387936,0.001
84,2024-03-07 14:51:09.387937,0.000
85,2024-03-07 14:51:09.387938,0.000
86,2024-03-07 14:51:09.387939,0.000
87,2024-03-07 14:51:09.387940,0.001
88,2024-03-07 14:51:09.387941,0.000
89,2024-03-07 14:51:09.387941,0.000
