CPU,Time,GHz
1,2024-03-09 12:40:09.237006,0.163
2,2024-03-09 12:40:09.237008,0.154
3,2024-03-09 12:40:09.237009,0.041
0,2024-03-09 12:40:09.397065,0.017
1,2024-03-09 12:40:09.397070,0.241
2,2024-03-09 12:40:09.397071,0.178
3,2024-03-09 12:40:09.397072,0.024
0,2024-03-09 12:40:09.561850,0.017
1,2024-03-09 12:40:09.561855,0.284
2,2024-03-09 12:40:09.561858,0.088
3,2024-03-09 12:40:09.561859,0.012
0,2024-03-09 12:40:09.726179,0.014
1,2024-03-09 12:40:09.726183,0.019
2,2024-03-09 12:40:09.726185,0.014
3,2024-03-09 12:40:09.726186,0.130
0,2024-03-09 12:40:09.891215,0.016
1,2024-03-09 12:40:09.891220,0.036
2,2024-03-09 12:40:09.891222,0.020
3,2024-03-09 12:40:09.891223,0.086
0,2024-03-09 12:40:10.060696,0.015
1,2024-03-09 12:40:10.060701,0.020
2,2024-03-09 12:40:10.060703,0.102
3,2024-03-09 12:40:10.060705,0.043
0,2024-03-09 12:40:10.231203,0.048
1,2024-03-09 12:40:10.231211,0.013
2,2024-03-09 12:40:10.231215,0.066
3,2024-03-09 12:40:10.231218,0.016
0,2024-03-09 12:40:10.399015,0.023
1,2024-03-09 12:40:10.399065,0.069
2,2024-03-09 12:40:10.399068,0.012
3,2024-03-09 12:40:10.399071,0.013
0,2024-03-09 12:40:10.565785,0.012
1,2024-03-09 12:40:10.565793,0.013
2,2024-03-09 12:40:10.565796,0.169
3,2024-03-09 12:40:10.565798,0.022
0,2024-03-09 12:40:10.732850,0.012
1,2024-03-09 12:40:10.732857,0.019
2,2024-03-09 12:40:10.732859,0.066
3,2024-03-09 12:40:10.732861,0.011
0,2024-03-09 12:40:10.899913,0.023
1,2024-03-09 12:40:10.899920,0.033
2,2024-03-09 12:40:10.899923,0.018
3,2024-03-09 12:40:10.899925,0.140
0,2024-03-09 12:40:11.064677,0.012
1,2024-03-09 12:40:11.064684,0.016
2,2024-03-09 12:40:11.064686,0.109
3,2024-03-09 12:40:11.064688,0.013
0,2024-03-09 12:40:11.232159,0.021
1,2024-03-09 12:40:11.232166,0.018
2,2024-03-09 12:40:11.232169,0.136
3,2024-03-09 12:40:11.232171,0.013
0,2024-03-09 12:40:11.399760,0.015
1,2024-03-09 12:40:11.399767,0.014
2,2024-03-09 12:40:11.399769,0.127
3,2024-03-09 12:40:11.399772,0.037
0,2024-03-09 12:40:11.566690,0.114
1,2024-03-09 12:40:11.566697,0.045
2,2024-03-09 12:40:11.566700,0.072
3,2024-03-09 12:40:11.566702,0.181
0,2024-03-09 12:40:11.734652,0.015
1,2024-03-09 12:40:11.734659,0.012
2,2024-03-09 12:40:11.734662,0.066
3,2024-03-09 12:40:11.734664,0.032
0,2024-03-09 12:40:11.901942,0.042
1,2024-03-09 12:40:11.901948,0.052
2,2024-03-09 12:40:11.901951,0.027
3,2024-03-09 12:40:11.901953,0.015
0,2024-03-09 12:40:12.071129,0.022
1,2024-03-09 12:40:12.071137,0.106
2,2024-03-09 12:40:12.071140,0.014
3,2024-03-09 12:40:12.071142,0.012
0,2024-03-09 12:40:12.237811,0.014
1,2024-03-09 12:40:12.237818,0.014
2,2024-03-09 12:40:12.237821,0.061
3,2024-03-09 12:40:12.237823,0.074
0,2024-03-09 12:40:12.402755,0.016
1,2024-03-09 12:40:12.402764,0.011
2,2024-03-09 12:40:12.402767,0.138
3,2024-03-09 12:40:12.402769,0.043
0,2024-03-09 12:40:12.571847,0.025
1,2024-03-09 12:40:12.571855,0.055
2,2024-03-09 12:40:12.571857,0.018
3,2024-03-09 12:40:12.571859,0.056
0,2024-03-09 12:40:12.739960,0.013
1,2024-03-09 12:40:12.739966,0.009
2,2024-03-09 12:40:12.739968,0.182
3,2024-03-09 12:40:12.739970,0.011
0,2024-03-09 12:40:12.909497,0.104
1,2024-03-09 12:40:12.909503,0.030
2,2024-03-09 12:40:12.909504,0.043
3,2024-03-09 12:40:12.909506,0.019
0,2024-03-09 12:40:13.076681,0.016
1,2024-03-09 12:40:13.076685,0.009
2,2024-03-09 12:40:13.076689,0.130
3,2024-03-09 12:40:13.076691,0.013
0,2024-03-09 12:40:13.245591,0.017
1,2024-03-09 12:40:13.245597,0.013
2,2024-03-09 12:40:13.245599,0.041
3,2024-03-09 12:40:13.245600,0.131
0,2024-03-09 12:40:13.408929,0.017
1,2024-03-09 12:40:13.408935,0.014
2,2024-03-09 12:40:13.408936,0.046
3,2024-03-09 12:40:13.408938,0.037
0,2024-03-09 12:40:13.575578,0.015
1,2024-03-09 12:40:13.575583,0.014
2,2024-03-09 12:40:13.575585,0.040
3,2024-03-09 12:40:13.575586,0.014
0,2024-03-09 12:40:13.745096,0.019
1,2024-03-09 12:40:13.745103,0.019
2,2024-03-09 12:40:13.745105,0.060
3,2024-03-09 12:40:13.745108,0.012
0,2024-03-09 12:40:13.909611,0.071
1,2024-03-09 12:40:13.909616,0.092
2,2024-03-09 12:40:13.909618,0.011
3,2024-03-09 12:40:13.909619,0.138
0,2024-03-09 12:40:14.078231,0.164
1,2024-03-09 12:40:14.078237,0.070
2,2024-03-09 12:40:14.078239,0.052
3,2024-03-09 12:40:14.078240,0.176
0,2024-03-09 12:40:14.245631,0.108
1,2024-03-09 12:40:14.245638,0.020
2,2024-03-09 12:40:14.245639,0.011
3,2024-03-09 12:40:14.245641,0.023
0,2024-03-09 12:40:14.417129,0.015
1,2024-03-09 12:40:14.417137,0.017
2,2024-03-09 12:40:14.417140,0.100
3,2024-03-09 12:40:14.417142,0.075
0,2024-03-09 12:40:14.589293,0.027
1,2024-03-09 12:40:14.589300,0.085
2,2024-03-09 12:40:14.589303,0.016
3,2024-03-09 12:40:14.589305,0.113
0,2024-03-09 12:40:14.759521,0.015
1,2024-03-09 12:40:14.759527,0.019
2,2024-03-09 12:40:14.759529,0.101
3,2024-03-09 12:40:14.759531,0.012
0,2024-03-09 12:40:14.927170,0.034
1,2024-03-09 12:40:14.927176,0.015
2,2024-03-09 12:40:14.927178,0.091
3,2024-03-09 12:40:14.927179,0.037
0,2024-03-09 12:40:15.095848,0.121
1,2024-03-09 12:40:15.095855,0.085
2,2024-03-09 12:40:15.095856,0.229
3,2024-03-09 12:40:15.095858,0.050
0,2024-03-09 12:40:15.265290,0.016
1,2024-03-09 12:40:15.265298,0.015
2,2024-03-09 12:40:15.265300,0.236
3,2024-03-09 12:40:15.265302,0.035
0,2024-03-09 12:40:15.431067,0.019
1,2024-03-09 12:40:15.431075,0.026
2,2024-03-09 12:40:15.431078,0.139
3,2024-03-09 12:40:15.431080,0.014
0,2024-03-09 12:40:15.597595,0.126
1,2024-03-09 12:40:15.597600,0.017
2,2024-03-09 12:40:15.597602,0.014
3,2024-03-09 12:40:15.597603,0.018
0,2024-03-09 12:40:15.762624,0.016
1,2024-03-09 12:40:15.762632,0.014
2,2024-03-09 12:40:15.762635,0.068
3,2024-03-09 12:40:15.762638,0.137
0,2024-03-09 12:40:15.927290,0.046
1,2024-03-09 12:40:15.927295,0.022
2,2024-03-09 12:40:15.927297,0.012
3,2024-03-09 12:40:15.927298,0.012
0,2024-03-09 12:40:16.091951,0.143
1,2024-03-09 12:40:16.091956,0.031
2,2024-03-09 12:40:16.091958,0.144
3,2024-03-09 12:40:16.091959,0.016
0,2024-03-09 12:40:16.257738,0.050
1,2024-03-09 12:40:16.257745,0.014
2,2024-03-09 12:40:16.257748,0.014
3,2024-03-09 12:40:16.257751,0.033
0,2024-03-09 12:40:16.422167,0.021
1,2024-03-09 12:40:16.422171,0.016
2,2024-03-09 12:40:16.422173,0.181
3,2024-03-09 12:40:16.422175,0.031
0,2024-03-09 12:40:16.587300,0.037
1,2024-03-09 12:40:16.587307,0.048
2,2024-03-09 12:40:16.587313,0.164
3,2024-03-09 12:40:16.587316,0.020
0,2024-03-09 12:40:16.758840,0.044
1,2024-03-09 12:40:16.758850,0.016
2,2024-03-09 12:40:16.758854,0.029
3,2024-03-09 12:40:16.758857,0.151
0,2024-03-09 12:40:16.931861,0.072
1,2024-03-09 12:40:16.931875,0.010
2,2024-03-09 12:40:16.931882,0.334
3,2024-03-09 12:40:16.931887,0.011
0,2024-03-09 12:40:17.101073,0.030
1,2024-03-09 12:40:17.101080,0.010
2,2024-03-09 12:40:17.101082,0.328
3,2024-03-09 12:40:17.101085,0.011
0,2024-03-09 12:40:17.271337,0.024
1,2024-03-09 12:40:17.271599,0.010
2,2024-03-09 12:40:17.271603,0.070
3,2024-03-09 12:40:17.271605,0.038
0,2024-03-09 12:40:17.442894,0.096
1,2024-03-09 12:40:17.442900,0.022
